SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BAIDFIN, EQ, 02-Jan-2026,11.05,11.45,11.45,10.95,11.08,11.06,11.05,133767,14.78,394, 91456, 68.37
BAJAJ-AUTO, EQ, 02-Jan-2026,9558.0,9550.0,9633.0,9310.5,9499.0,9502.5,9507.15,733651,69749.33,57314, 363114, 49.49
BAJAJCON, EQ, 02-Jan-2026,265.7,266.8,269.95,263.6,267.6,267.35,266.91,304956,813.95,7231, 172741, 56.64
BAJAJELEC, EQ, 02-Jan-2026,474.7,474.9,480.0,473.0,479.65,479.35,477.02,32039,152.83,2195, 11994, 37.44
BAJAJFINSV, EQ, 02-Jan-2026,2037.0,2030.1,2050.0,2026.6,2039.5,2038.4,2039.94,893818,18233.33,44371, 570601, 63.84
BAJAJHCARE, EQ, 02-Jan-2026,424.65,424.85,427.2,417.95,418.0,418.6,421.18,144479,608.52,2491, 59970, 41.51
BAJAJHFL, EQ, 02-Jan-2026,96.11,96.5,96.8,95.6,96.56,96.62,96.24,5951146,5727.2,42122, 3642548, 61.21
BAJAJHIND, EQ, 02-Jan-2026,18.46,18.46,18.8,18.38,18.7,18.68,18.63,3624719,675.12,7774, 1870863, 51.61
BAJAJHLDNG, EQ, 02-Jan-2026,11342.0,11342.0,11342.0,11072.0,11197.0,11181.0,11161.87,58889,6573.11,12748, 27964, 47.49
BAJAJINDEF, EQ, 02-Jan-2026,363.75,362.0,372.0,353.85,358.85,357.3,364.78,66573,242.84,2861, 20650, 31.02
BAJEL, EQ, 02-Jan-2026,172.98,174.85,175.39,172.08,175.0,174.51,174.0,92854,161.56,2452, 41291, 44.47
BAJFINANCE, EQ, 02-Jan-2026,973.1,972.9,994.2,960.6,990.55,990.45,986.39,6206869,61224.1,113828, 3544409, 57.10
BALAJEE, EQ, 02-Jan-2026,39.5,39.1,41.0,39.1,40.6,40.35,40.05,50446,20.21,554, 21710, 43.04
BALAJIPHOS, SM, 02-Jan-2026,143.5,144.0,144.0,141.5,141.5,141.5,142.89,7000,10.0,7, 7000, 100.00
BALAJITELE, EQ, 02-Jan-2026,105.65,105.65,108.39,104.7,107.0,107.3,106.44,103910,110.6,2902, 59020, 56.80
BALAMINES, EQ, 02-Jan-2026,1109.7,1114.6,1119.8,1106.0,1115.0,1110.0,1111.54,30976,344.31,3436, 14955, 48.28
BALAXI, EQ, 02-Jan-2026,28.29,28.76,28.76,26.87,26.96,27.06,27.25,391027,106.56,1852, 347768, 88.94
BALCO, SM, 02-Jan-2026,25.95,25.95,25.95,25.95,25.95,25.95,25.95,1200,0.31,1, 1200, 100.00
BALKRISHNA, EQ, 02-Jan-2026,18.21,18.21,18.8,17.91,18.5,18.47,18.38,18787,3.45,146, 12877, 68.54
BALKRISIND, EQ, 02-Jan-2026,2316.3,2310.0,2380.0,2310.0,2368.0,2368.6,2362.05,81569,1926.7,11883, 37449, 45.91
BALMLAWRIE, EQ, 02-Jan-2026,184.76,184.0,185.5,182.41,184.85,184.43,184.1,134151,246.97,3391, 79146, 59.00
BALPHARMA, EQ, 02-Jan-2026,73.02,71.25,74.0,71.25,73.79,73.25,72.99,3752,2.74,212, 2872, 76.55
BALRAMCHIN, EQ, 02-Jan-2026,438.3,438.25,442.6,437.45,439.3,438.55,439.51,138587,609.1,5213, 64451, 46.51
BALUFORGE, EQ, 02-Jan-2026,600.1,600.15,601.8,595.0,597.95,596.4,597.66,165134,986.94,6121, 100622, 60.93
BANARBEADS, EQ, 02-Jan-2026,124.74,127.8,128.25,124.1,126.0,127.4,126.88,1745,2.21,62, 1586, 90.89
BANARISUG, EQ, 02-Jan-2026,3600.6,3624.6,3650.0,3600.0,3600.0,3602.4,3615.68,400,14.46,121, 256, 64.00
BANCOINDIA, EQ, 02-Jan-2026,682.6,686.0,718.4,682.1,709.0,708.7,705.89,492435,3476.07,23007, 142944, 29.03
BANDHANBNK, EQ, 02-Jan-2026,144.18,144.5,145.9,142.65,144.95,144.46,144.34,8134028,11740.91,30242, 2598531, 31.95
BANG, EQ, 02-Jan-2026,47.28,48.97,48.97,47.5,48.0,48.17,48.24,10877,5.25,207, 6879, 63.24
BANKA, EQ, 02-Jan-2026,66.98,66.02,68.39,66.02,68.38,67.63,67.82,3465,2.35,75, 2641, 76.22
BANKADD, EQ, 02-Jan-2026,60.81,61.06,61.39,61.06,61.31,61.24,61.3,55516,34.03,83, 54285, 97.78
BANKBARODA, EQ, 02-Jan-2026,300.75,301.0,305.95,301.0,305.8,305.05,303.58,10317519,31321.44,56723, 5471562, 53.03
BANKBEES, EQ, 02-Jan-2026,615.29,617.99,621.39,615.28,620.8,619.91,619.88,879504,5451.88,8743, 620879, 70.59
BANKBETA, EQ, 02-Jan-2026,61.49,61.69,62.01,61.46,61.98,61.82,61.87,35001,21.66,388, 27371, 78.20
BANKBETF, EQ, 02-Jan-2026,60.35,60.4,60.94,60.4,60.83,60.81,60.78,13247,8.05,238, 11132, 84.03
BANKETF, EQ, 02-Jan-2026,605.39,607.12,611.15,607.12,609.92,609.61,610.12,7287,44.46,134, 5879, 80.68
BANKIETF, EQ, 02-Jan-2026,61.0,61.22,61.59,61.12,61.52,61.44,61.45,392617,241.24,1186, 294456, 75.00
BANKINDIA, EQ, 02-Jan-2026,146.99,147.5,150.3,146.82,149.25,149.22,148.87,9401609,13996.5,44315, 3781091, 40.22
BANKNIFTY1, EQ, 02-Jan-2026,617.6,619.0,622.65,618.55,622.65,621.69,620.65,19009,117.98,465, 13449, 70.75
BANKPSU, EQ, 02-Jan-2026,85.97,86.49,87.77,86.2,87.77,87.5,86.72,43933,38.1,135, 30152, 68.63
BANSALWIRE, EQ, 02-Jan-2026,305.4,318.0,327.75,309.0,311.0,311.25,318.59,1165248,3712.41,17858, 242282, 20.79
BANSWRAS, EQ, 02-Jan-2026,115.95,115.95,116.84,114.05,115.01,114.38,114.89,29593,34.0,305, 21369, 72.21
BARFLEX, SM, 02-Jan-2026,75.6,75.45,75.45,74.05,74.05,74.6,74.57,10000,7.46,5, 6000, 60.00
BASF, EQ, 02-Jan-2026,3915.5,3916.0,3945.0,3868.3,3936.3,3934.8,3910.88,9213,360.31,2700, 4925, 53.46
BASILIC, SM, 02-Jan-2026,338.85,333.65,340.7,333.65,337.6,340.5,339.34,9900,33.59,19, 8100, 81.82
BASML, EQ, 02-Jan-2026,26.31,26.01,26.55,26.01,26.5,26.19,26.31,46306,12.18,433, 31581, 68.20
BATAINDIA, EQ, 02-Jan-2026,946.7,949.45,951.7,943.3,950.5,950.15,946.95,41827,396.08,3569, 23156, 55.36
BAWEJA, SM, 02-Jan-2026,42.95,40.5,44.0,40.5,42.35,42.35,42.8,15200,6.51,17, 12800, 84.21
BAYERCROP, EQ, 02-Jan-2026,4543.2,4564.0,4585.6,4529.9,4549.9,4546.7,4549.37,24554,1117.05,7946, 12896, 52.52
BBETF0432, EQ, 02-Jan-2026,1313.83,1310.49,1315.51,1310.49,1314.99,1314.86,1314.62,3319,43.63,55, 3011, 90.72
BBL, EQ, 02-Jan-2026,2675.8,2670.8,2777.0,2670.8,2749.0,2759.9,2740.86,18661,511.47,3019, 8785, 47.08
BBNPNBETF, EQ, 02-Jan-2026,60.0,61.2,61.2,60.14,60.33,60.33,60.26,971,0.59,41, 955, 98.35
BBNPPGOLD, EQ, 02-Jan-2026,129.45,129.45,131.95,129.45,131.1,130.85,130.86,84260,110.26,159, 81657, 96.91
BBOX, EQ, 02-Jan-2026,547.05,547.0,562.0,544.05,558.5,557.4,555.19,342161,1899.64,11588, 184084, 53.80
BBTC, EQ, 02-Jan-2026,1867.6,1867.8,1889.6,1863.4,1884.0,1880.9,1876.8,28789,540.31,4340, 10739, 37.30
BBTCL, EQ, 02-Jan-2026,189.67,198.54,198.54,188.07,192.1,193.68,192.28,3760,7.23,141, 3275, 87.10
BCG, EQ, 02-Jan-2026,10.62,10.64,10.75,10.48,10.57,10.55,10.58,5134021,543.16,7240, 2264909, 44.12
BCLIND, EQ, 02-Jan-2026,32.58,32.7,33.0,32.3,32.78,32.74,32.64,337177,110.07,5632, 210680, 62.48
BCONCEPTS, EQ, 02-Jan-2026,353.05,360.0,362.75,330.0,339.7,337.7,343.55,9948,34.18,547, 5824, 58.54
BDL, EQ, 02-Jan-2026,1481.5,1487.3,1506.0,1477.0,1493.0,1495.0,1492.92,1636024,24424.57,72724, 577511, 35.30
BEACON, ST, 02-Jan-2026,85.2,85.0,85.75,82.5,84.45,84.45,83.21,24000,19.97,23, 23000, 95.83
BEARDSELL, EQ, 02-Jan-2026,30.0,30.85,30.85,29.0,30.8,30.33,30.03,26381,7.92,271, 19236, 72.92
BECTORFOOD, EQ, 02-Jan-2026,247.22,247.22,248.99,242.05,247.8,244.49,244.59,567433,1387.91,20270, 250458, 44.14
BEDMUTHA, EQ, 02-Jan-2026,109.0,111.18,113.01,109.1,112.0,111.42,111.08,4040,4.49,139, 2194, 54.31
BEL, EQ, 02-Jan-2026,397.7,399.65,405.6,398.95,403.3,403.15,402.89,10950368,44118.02,121282, 5088606, 46.47
BELLACASA, EQ, 02-Jan-2026,361.9,370.0,384.9,363.5,379.4,379.5,371.71,5737,21.32,416, 3644, 63.52
BELRISE, EQ, 02-Jan-2026,184.07,184.0,190.1,183.61,184.81,185.05,187.12,5756635,10771.56,37962, 1981210, 34.42
BEML, EQ, 02-Jan-2026,1847.4,1847.7,1885.0,1847.7,1869.0,1857.8,1865.92,186395,3477.98,16203, 69840, 37.47
BEPL, EQ, 02-Jan-2026,90.65,90.0,91.7,90.0,91.59,91.24,90.94,227498,206.89,2670, 134010, 58.91
BERGEPAINT, EQ, 02-Jan-2026,533.65,536.2,536.2,521.65,523.9,524.1,524.79,342256,1796.12,15988, 198517, 58.00
BESTAGRO, EQ, 02-Jan-2026,382.2,383.8,394.5,377.9,388.0,390.3,386.0,145352,561.06,5771, 55655, 38.29
BETA, EQ, 02-Jan-2026,1545.4,1560.1,1639.9,1542.9,1638.0,1629.4,1600.41,5944,95.13,670, 3913, 65.83
BEWLTD, SM, 02-Jan-2026,121.35,123.5,124.0,123.5,123.75,123.75,123.78,3000,3.71,6, 3000, 100.00
BFINVEST, EQ, 02-Jan-2026,415.6,412.45,422.1,412.45,420.0,418.55,419.5,13611,57.1,1019, 6852, 50.34
BFSI, EQ, 02-Jan-2026,28.59,28.84,28.89,28.55,28.86,28.8,28.76,184599,53.1,745, 159245, 86.27
BFUTILITIE, BZ, 02-Jan-2026,682.4,682.0,697.0,678.2,689.9,685.25,686.93,5013,34.44,268, -, -
BGRENERGY, BE, 02-Jan-2026,364.15,363.15,364.0,354.0,361.0,359.1,358.95,58472,209.88,959, -, -
BHADORA, SM, 02-Jan-2026,73.7,77.0,79.5,77.0,77.7,77.7,78.43,18000,14.12,12, 18000, 100.00
