symbol,date,open,high,low,close,volume,fut_oi,fut_oi_change,call_oi,put_oi,call_oi_change,put_oi_change,pcr_oi,total_oi,returns,log_returns,sma_3,ema_3,sma_5,ema_5,sma_10,ema_10,volatility_5,volatility_10,rsi_7,macd,macd_signal,bb_mid,bb_upper,bb_lower,bb_width,oi_change_ratio,pcr_oi_ma5,oi_trend,price_change,oi_change_pct,range_pct,future_return,label,label_binary
BANKNIFTY,2024-01-15,48002.25,48380.0,47933.2,48306.25,131903000,2027040,13245,46582770,58226010,5499570,14371095,1.2499473517783506,106835820,0.009742862428316013,0.009695706784078325,47906.69999999999,48015.45774303859,47743.69,47930.00696720142,47910.909999999996,47908.61984860233,0.005692395304723943,0.008907264106035874,45.32587385836561,-14.970717653130123,-51.29409949228094,47910.909999999996,48670.92829773294,47150.89170226705,0.031726314433724846,0.006534158181387639,0.9340948796466136,-158535.0,0.009742862428316013,0.006534158181387639,0.009249320740069927,-0.0016830120326045694,0,0.0
BANKNIFTY,2024-01-16,48255.35,48440.0,48078.85,48224.95,132841000,2017230,-9810,65163075,59735385,18580305,1509375,0.9167060486326036,126915690,-0.0016830120326045694,-0.001684429888424437,48123.78333333333,48120.22945054945,47910.380000000005,48029.084939745335,47938.740000000005,47971.82203390316,0.004715651170400344,0.007943011518820117,46.030204438401405,14.795692696738115,-28.369694176280206,47938.740000000005,48724.51951784624,47152.96048215377,0.03278265210333992,-0.00486310435597329,1.0068721977992492,-258720.0,-0.0016830120326045694,-0.00486310435597329,0.007488862093169645,-0.04283467375290173,-1,0.0
BANKNIFTY,2024-01-17,47015.2,47600.0,46050.7,46159.25,396435000,2415600,398370,105483180,67263150,40320105,7527765,0.637667066920053,175161930,-0.04283467375290173,-0.043779147750395236,47563.48333333334,47139.620021975345,47620.86,47402.58753807221,47761.47,47616.06987838392,0.021130375326199217,0.015893169776020205,28.2247498808957,-149.95978203254344,-69.98215917158264,47761.47,49134.47211070485,46388.46788929515,0.057494131177488986,0.16491554893194238,0.9430016467929466,401805.0,-0.04283467375290173,0.16491554893194238,0.03356423685393508,-0.006282597745847274,-1,0.0
BANKNIFTY,2024-01-18,45699.95,46358.4,45600.0,45869.25,266916000,2209785,-205815,54622950,36852660,17963595,12698535,0.6746735575431206,93685395,-0.006282597745847274,-0.006302416314734549,46751.15,46504.396240004884,47279.969999999994,46889.71819792367,47498.22,47278.10677734336,0.02092827248453973,0.014929451173917693,27.732186480595686,-284.0178964290899,-142.5864748362016,47498.22,49208.45451491308,45787.98548508692,0.0720125728885452,-0.09313802021463627,0.9092919846687151,182745.0,-0.006282597745847274,-0.09313802021463627,0.016533952484507626,-0.0015707690882236225,0,0.0
BANKNIFTY,2024-01-19,46155.55,46337.85,45584.35,45797.2,210245000,2174565,-35220,70894545,42155415,16271595,5302755,0.5946214197439309,115224525,-0.0015707690882236225,-0.001572004039372696,45941.9,46150.78732871487,46871.38,46524.711915670836,47239.094999999994,46994.891696471255,0.020069074489651288,0.014949204908805778,22.36964653790369,-374.55809823601885,-220.81474792819986,47239.094999999994,49125.95384147877,45352.23615852122,0.0798854779702606,-0.016196342716819224,0.8147230889236118,157335.0,-0.0015707690882236225,-0.016196342716819224,0.01645297092398662,-0.01930576541797302,-1,0.0
BANKNIFTY,2024-01-23,46506.05,46525.5,44835.25,44913.05,247350000,1917900,-22575,94610730,48600765,31802535,5032170,0.5136918930865453,145129395,-0.01930576541797302,-0.019494555481507157,45526.5,45531.90922102694,46192.740000000005,45986.672144468575,46968.215000000004,46600.46909760859,0.017498424818824767,0.015255339855340149,17.755559595225193,-510.9953454022034,-318.29291175022774,46968.215000000004,49329.07697584695,44607.35302415306,0.1005301979582125,-0.011770686688565618,0.6674719971852507,-497700.0,-0.01930576541797302,-0.011770686688565618,0.037633828029937845,0.005339205420250792,1,1.0
BANKNIFTY,2024-01-24,44500.0,45550.0,44499.85,45152.85,305763000,1584030,-333870,97840065,58804590,3229335,10203825,0.6010277078209219,158228685,0.005339205420250792,0.0053250023958044766,45287.700000000004,45342.378164506255,45578.31999999999,45708.449044543304,46744.35,46328.28493192812,0.018986336159343156,0.01565584261413453,17.2208533580541,-568.1213832612484,-401.999171024076,46744.35,49339.728830408625,44148.97116959137,0.1110456699219746,-0.21077252324766577,0.6043363290229143,-625755.0,0.005339205420250792,-0.21077252324766577,0.023257668120617005,-0.008401463030572764,-1,0.0
BANKNIFTY,2024-01-25,45096.9,45138.8,44404.0,44773.5,187405000,1098090,-485940,100627545,72613290,2787480,13808700,0.7216045069965684,174338925,-0.008401463030572764,-0.008436954246325555,44946.46666666667,45057.9379972,45301.17,45396.58834576638,46461.015,46037.75362598864,0.009097748936818667,0.015337171657997082,5.976547409871927,-630.2679525040003,-478.35030469638383,46461.015,49249.36669272695,43672.66330727305,0.12002973644579018,-0.4425320328934787,0.6211238170382174,-1076475.0,-0.008401463030572764,-0.4425320328934787,0.01641149340569763,0.036622109060046704,1,1.0
BANKNIFTY,2024-01-29,46194.65,46650.0,46135.0,46413.2,1608000,9615,9615,51927030,44197470,21247815,22381365,0.851145732771545,96134115,0.036622109060046704,0.03596745498519417,45446.51666666666,45735.57029108102,45409.96,45735.61182829391,46344.965000000004,46107.558416748376,0.02111443319002428,0.02045861142689905,33.7387245882511,-493.5584461460385,-483.43128841003136,46344.965000000004,49021.86859725559,43668.06140274442,0.11552079485897061,1.0,0.6564182520839024,-1908285.0,0.036622109060046704,1.0,0.0110959813156602,-0.0017893616471175156,0,0.0
BANKNIFTY,2024-01-30,46500.0,46597.3,46100.0,46330.15,1326000,12105,2490,73726620,53381460,21799590,9183990,0.7240459416151181,127120185,-0.0017893616471175156,-0.0017909644669712318,45838.94999999999,46032.86042905848,45516.55,45933.85083501342,46193.965000000004,46148.774453222766,0.021125287514378772,0.020275066837517043,52.3814832362532,-395.56225650545093,-454.0969513744457,46193.965000000004,48657.90134975958,43730.02865024043,0.10667784632731037,0.2057001239157373,0.6823031564581398,-1571925.0,-0.0017893616471175156,0.2057001239157373,0.010733830993424431,0.014020027994729123,1,1.0
NIFTY,2024-01-01,21849.8,22025.0,21811.2,21888.9,109309000,12621600,-168750,141497825,160731175,22149350,27625600,1.135926824316911,314850600,0.0,0.0,21888.9,21888.9,21888.9,21888.9,21888.9,21888.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013369937250427838,1.135926824316911,0.0,0.0,-0.013369937250427838,0.009767507732229544,-0.00603730658004753,-1,0.0
NIFTY,2024-01-02,21820.0,21869.95,21674.0,21756.75,167847000,11836050,-785550,174991175,161531425,33493350,800250,0.9230832640560303,348358650,-0.00603730658004753,-0.006055604800569104,21822.825,21800.8,21822.825,21809.610000000004,21822.825,21816.2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06636927015347181,1.0295050441864706,0.0,-0.00603730658004753,-0.06636927015347181,0.009006400312546714,-0.0072046606225654175,-1,0.0
NIFTY,2024-01-03,21729.9,21729.9,21579.0,21600.0,135616000,11837550,1500,236011625,180611325,61020450,19079900,0.7652645288129345,428460500,-0.0072046606225654175,-0.0072307395251651795,21748.55,21686.057142857142,21748.55,21710.321052631578,21748.55,21729.29950166113,0.0008254439595099276,0.0,0.0,0.0,0.0,21748.55,22037.798906653075,21459.301093346923,0.026599373903370672,0.0001267154098609932,0.9414248723952919,0.0,-0.0072046606225654175,0.0001267154098609932,0.006986111111111178,0.008608796296296406,1,1.0
